index,date,domain,IP,DNS
103,2018-01-30 09:01:17.266730+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
104,2018-01-30 10:01:17.381696+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
105,2018-01-30 11:01:17.502935+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
106,2018-01-30 12:01:17.627342+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
107,2018-01-30 13:01:17.741059+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
108,2018-01-30 14:01:17.847776+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
109,2018-01-30 15:01:17.948942+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
110,2018-01-30 16:01:18.091678+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
111,2018-01-30 17:01:18.182385+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
112,2018-01-30 18:01:18.279039+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
113,2018-01-30 19:01:18.403399+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
114,2018-01-30 20:01:18.461078+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
115,2018-01-30 21:01:18.532021+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
116,2018-01-30 22:01:18.662247+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
117,2018-01-30 23:01:18.754845+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
118,2018-01-31 00:01:18.885482+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
119,2018-01-31 01:01:18.979022+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
120,2018-01-31 02:01:19.089710+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
121,2018-01-31 03:01:19.214703+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
122,2018-01-31 04:01:19.265568+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
123,2018-01-31 05:01:19.393894+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
124,2018-01-31 06:01:19.537981+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
125,2018-01-31 07:01:19.654624+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
126,2018-01-31 08:01:19.781622+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
127,2018-01-31 09:01:19.871162+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
128,2018-01-31 10:01:19.953825+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
129,2018-01-31 11:01:19.990805+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
130,2018-01-31 12:01:20.043726+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
131,2018-01-31 13:01:20.091702+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
132,2018-01-31 14:01:20.188702+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
133,2018-01-31 15:01:20.280271+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
134,2018-01-31 16:01:20.388038+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
135,2018-01-31 17:01:20.484825+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
136,2018-01-31 18:01:20.530867+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
137,2018-01-31 19:01:20.649249+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
138,2018-01-31 20:01:20.746726+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
139,2018-01-31 21:01:20.843228+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
140,2018-01-31 22:01:20.958550+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
141,2018-01-31 23:01:21.027288+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
142,2018-02-01 00:01:21.114959+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
143,2018-02-01 01:01:21.183917+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
144,2018-02-01 02:01:21.288958+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
145,2018-02-01 03:01:21.406952+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
146,2018-02-01 04:01:21.531000+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
147,2018-02-01 05:01:21.610405+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
148,2018-02-01 06:01:21.685597+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
149,2018-02-01 07:01:21.743095+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
150,2018-02-01 08:01:21.875217+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
151,2018-02-01 09:01:21.967523+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
152,2018-02-01 10:01:22.077971+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
153,2018-02-01 11:01:22.128372+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
154,2018-02-01 12:01:22.279945+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
155,2018-02-01 13:01:22.382522+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
156,2018-02-01 14:01:22.474150+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
157,2018-02-01 15:01:22.604520+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
158,2018-02-01 16:01:22.657428+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
159,2018-02-01 17:01:22.926454+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
160,2018-02-01 18:01:23.022771+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
161,2018-02-01 19:01:23.081520+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
162,2018-02-01 20:01:23.123859+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
163,2018-02-01 21:01:23.229416+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
164,2018-02-01 22:01:23.372900+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
165,2018-02-01 23:01:23.622289+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
166,2018-02-02 00:01:23.757135+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
167,2018-02-02 01:01:23.873563+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
168,2018-02-02 02:01:23.988356+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
169,2018-02-02 03:01:24.075343+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
170,2018-02-02 04:01:24.096613+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
171,2018-02-02 05:01:24.182427+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
172,2018-02-02 06:01:24.266326+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
173,2018-02-02 07:01:24.336348+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
174,2018-02-02 08:01:24.445686+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
175,2018-02-02 09:01:24.521528+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
176,2018-02-02 10:01:24.632307+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
177,2018-02-02 11:01:24.721229+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
178,2018-02-02 12:01:24.807919+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
179,2018-02-02 13:01:24.891037+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
180,2018-02-02 14:01:25.054673+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
181,2018-02-02 15:01:25.158471+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
182,2018-02-02 16:01:25.290877+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
183,2018-02-02 17:01:25.378740+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
184,2018-02-02 18:01:25.428954+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
185,2018-02-02 19:01:25.452694+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
186,2018-02-02 20:01:25.533200+09:00,fl0ckfl0ck.info,116.67.83.27,8.8.8.8
